srcStateName,srcDistrictName,srcYear,Social group type,Land area size,Category of holdings,Net area sown,Area under current fallows,Net area cultivated,Uncultivated area ,YearCode,Year
Himachal Pradesh,Una,2015-16,Others,Below 0.5,Marginal,3279.801,448.998,3728.799,2290.641,2015,"Agriculture Year (Jul - Jun), 2015"
Assam,Bongaigaon,2015-16,Others,(4.0-5.0),Medium,1344.873,3.621,1348.494,4.321,2015,"Agriculture Year (Jul - Jun), 2015"
Jharkhand,Godda,2015-16,Institutional,(10.0-20.0),Large,20.36,0,20.36,0,2015,"Agriculture Year (Jul - Jun), 2015"
Delhi,South East,2015-16,Institutional,(1.0-2.0),Small,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Goa,South Goa,2015-16,Institutional,(10.0-20.0),Large,273.976,0,273.976,2.994,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Chichballapura,2015-16,Others,(3.0-4.0),Semi-Medium,9886.709,244.003,10130.712,12.178,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Araria,2015-16,Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Karnataka,Udupi,2015-16,Others,(2.0-3.0),Semi-Medium,14025.251,1581.517,15606.768,2368.394,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Jehanabad,2015-16,Institutional,(1.0-2.0),Small,18.069,0.102,18.171,0.048,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Jehanabad,2015-16,Others,(1.0-2.0),Small,8083.717,3934.462,12018.179,17.769,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Katihar,2015-16,Scheduled Tribes,20 & Above,Large,83.267,0,83.267,0,2015,"Agriculture Year (Jul - Jun), 2015"
Gujarat,Navsari,2015-16,Institutional,(10.0-20.0),Large,70.255,0,70.255,0,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Madhepura,2015-16,Others,(1.0-2.0),Small,16806.683,4811.402,21618.085,1529.674,2015,"Agriculture Year (Jul - Jun), 2015"
Bihar,Sheohar,2015-16,Others,(7.5-10.0),Medium,199.848,2.796,202.644,1.064,2015,"Agriculture Year (Jul - Jun), 2015"
Haryana,Jind,2015-16,Others,20 & Above,Large,11559.9,0,11559.9,0,2015,"Agriculture Year (Jul - Jun), 2015"
Haryana,Karnal,2015-16,Others,Below 0.5,Marginal,5617.264,0,5617.264,0,2015,"Agriculture Year (Jul - Jun), 2015"
Madhya Pradesh,Umaria,2015-16,Others,20 & Above,Large,246.517,0,246.517,250.255,2015,"Agriculture Year (Jul - Jun), 2015"
Chhatisgarh,Durg,2015-16,Institutional,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Meghalaya,East Khasi Hills,2015-16,Others,(1.0-2.0),Small,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Tamil Nadu,Karur,2015-16,Others,(1.0-2.0),Small,19792.057,8358.043,28150.1,3340.717,2015,"Agriculture Year (Jul - Jun), 2015"
Uttar Pradesh,Badaayu,2015-16,Institutional,20 & Above,Large,57.13,0,57.13,0,2015,"Agriculture Year (Jul - Jun), 2015"
Uttar Pradesh,Banda,2015-16,Others,(0.5-1.0),Marginal,35062.24,3388.954,38451.194,157.438,2015,"Agriculture Year (Jul - Jun), 2015"
Uttar Pradesh,Gonda,2015-16,Others,(0.5-1.0),Marginal,80656.862,2314.811,82971.673,436.559,2015,"Agriculture Year (Jul - Jun), 2015"
Uttar Pradesh,Gonda,2015-16,Scheduled Caste,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Uttar Pradesh,Jaunpur,2015-16,Institutional,20 & Above,Large,0,0,0,0,2015,"Agriculture Year (Jul - Jun), 2015"
Uttar Pradesh,Kheri,2015-16,Others,(10.0-20.0),Large,4001.954,255.45,4257.404,0,2015,"Agriculture Year (Jul - Jun), 2015"
Uttar Pradesh,Sambhal,2015-16,Others,(0.5-1.0),Marginal,42874.511,1229.364,44103.875,326.605,2015,"Agriculture Year (Jul - Jun), 2015"
